Unnamed: 0,Solvent 1,Solvent 2,q1,q2,r1,r2,x1,x2,T,ismisc
244,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.145250232,0.404955405,300,1
245,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.396099874,0.25866162,300,1
246,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.695463581,0.054005321,300,1
247,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.147604854,0.406148892,300,1
248,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.41217841,0.383970165,300,1
249,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.305491599,0.29637029,300,1
250,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.567452485,0.121408324,300,1
251,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.116992922,0.481275626,300,1
252,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.054203638,0.122344591,300,1
253,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.48239312,0.46459496,300,1
254,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.34043248,0.279014425,300,1
255,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.338471706,0.424178055,300,1
256,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.433584062,0.419894433,300,1
257,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.274405692,0.290965548,300,1
258,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.650269195,0.081699269,300,1
259,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.030836016,0.565506277,300,1
260,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.156814095,0.13852152,300,1
261,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.478945736,0.480966106,300,1
262,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.454867197,0.165071501,300,1
263,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.202478232,0.5174981,300,1
264,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.348781868,0.057973111,300,1
265,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.366342738,0.492497862,300,1
266,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.413612666,0.2028995,300,1
267,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.19821577,0.724339822,300,1
268,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.106035588,0.361451561,300,1
269,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.39073865,0.315074527,300,1
270,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.579012323,0.213334461,300,1
271,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.188952225,0.370947566,300,1
272,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.433503219,0.240108702,300,1
273,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.295723363,0.442548356,300,1
274,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.699878352,0.284433324,300,1
275,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.042298353,0.439899043,300,1
276,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.135320352,0.312726061,300,1
277,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.469028764,0.286593647,300,1
278,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.413201181,0.006811934,300,1
279,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.230166411,0.61454863,300,1
280,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.197395997,0.205509175,300,1
281,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.48628693,0.422695471,300,1
282,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.50262389,0.091400139,300,1
283,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.153802073,0.549862019,300,1
284,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.111085611,0.341234265,300,1
285,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.344769451,0.358670901,300,1
286,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.393440814,0.356526317,300,1
287,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.266699958,0.358317051,300,1
288,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.351174692,0.072849091,300,1
289,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.334564601,0.642163883,300,1
290,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.489068354,0.229669124,300,1
291,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.011830241,0.685811491,300,1
292,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.34383499,0.388609235,300,1
293,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.322487537,0.274065476,300,1
